"","esFraude","tipo","hora","cantidad","saldoOrigenAntes","saldoOrigenDespues","destino","saldoDestinoAntes","saldoDestinoDespues"
"115","No","CASH_IN",10,201359.1,4023750.53,4225109.63,"C",2197902.19,2123904.71
"116","No","CASH_IN",10,214759.23,131738,346497.23,"C",15918.53,0
"117","No","CASH_OUT",10,137606.58,2525,0,"C",18776.1,63416.87
"118","No","CASH_IN",10,32708.44,1943398.54,1976106.99,"C",156828.98,124120.53
"119","No","CASH_IN",10,776.63,3500386.42,3501163.04,"C",76249.41,75472.78
"120","No","CASH_OUT",10,302902.82,2413102.27,2110199.45,"C",887483.67,1629678.81
"121","No","CASH_OUT",10,43644.66,0,0,"C",130002.77,173647.43
"122","No","PAYMENT",10,3787.5,0,0,"M",0,0
"123","No","CASH_IN",10,306069.37,30735,336804.37,"C",32902,0
"124","No","PAYMENT",10,4316.91,548719,544402.09,"M",0,0
"125","No","PAYMENT",10,11843.17,2557289.94,2545446.78,"M",0,0
"126","No","CASH_OUT",10,52081.35,0,0,"C",243079.34,39513.85
"127","No","PAYMENT",10,20352.64,79858,59505.36,"M",0,0
"128","No","PAYMENT",10,13144.02,0,0,"M",0,0
"129","No","TRANSFER",10,1304968.83,59743,0,"C",0,1270878.63
"130","No","CASH_OUT",10,40603.55,0,0,"C",4258768.79,4299372.35
"131","No","CASH_OUT",10,133793.62,98257.49,0,"C",1043521.24,1177314.86
"132","No","PAYMENT",10,6392.99,0,0,"M",0,0
"133","No","CASH_OUT",10,49540.8,0,0,"C",533633.09,41883.14
"134","No","TRANSFER",10,670580.87,14933,0,"C",1267867.9,2431231.93
"135","No","CASH_OUT",10,119935.61,0,0,"C",4308403.78,7199560.14
"136","No","PAYMENT",10,5660.5,389031.04,383370.54,"M",0,0
"137","No","PAYMENT",10,23128.52,131531.61,108403.09,"M",0,0
"138","No","TRANSFER",10,1149038.51,67083.79,0,"C",0,1149038.51
"139","No","CASH_IN",10,105209.82,2656668.77,2761878.59,"C",4062493.76,4609653.12
"140","No","CASH_OUT",10,225262.37,24845,0,"C",780417.39,802924.93
"141","No","CASH_OUT",10,246630.73,0,0,"C",561730.85,808361.58
"142","No","CASH_IN",10,73290.44,5462973.35,5536263.79,"C",220613,268389.33
"143","No","CASH_OUT",10,18440.66,0,0,"C",4124007.44,3909495.23
"144","No","PAYMENT",10,10907.34,415852.94,404945.59,"M",0,0
"145","No","CASH_OUT",10,376713.5,0,0,"C",521978.97,898692.48
"146","No","CASH_OUT",10,199425.33,0,0,"C",2499349.7,2688836.99
"147","No","CASH_OUT",10,39151.47,5072,0,"C",72026.57,111178.04
"148","No","CASH_OUT",10,150405.57,16260,0,"C",8013,248744.35
"149","No","PAYMENT",10,4102.5,1089,0,"M",0,0
"150","No","TRANSFER",10,478460.18,0,0,"C",1313633.31,1565567.19
"151","No","PAYMENT",10,2157.16,48643,46485.84,"M",0,0
"152","No","CASH_OUT",10,43921.54,0,0,"C",120171.2,307994.18
"153","No","CASH_IN",10,23181.98,2580367.23,2603549.21,"C",81387,60601.54
"154","No","CASH_IN",10,175902.28,15057,190959.28,"C",0,0
"155","No","CASH_IN",10,238450.5,66559,305009.5,"C",145590.35,0
"156","No","PAYMENT",10,15376.55,552531.08,537154.53,"M",0,0
"157","No","PAYMENT",10,3351.9,0,0,"M",0,0
"158","No","PAYMENT",10,6506.26,0,0,"M",0,0
"159","No","PAYMENT",10,13350.6,145176.2,131825.59,"M",0,0
"160","Si","TRANSFER",10,503405.88,503405.88,0,"C",0,0
"161","No","PAYMENT",11,22460.99,0,0,"M",0,0
"162","No","CASH_IN",11,443163.59,422301.72,865465.31,"C",3090857.63,2647694.04
"163","No","CASH_OUT",11,150843.14,0,0,"C",2565768,2716611.13
"164","No","CASH_IN",11,87324.94,317449.52,404774.47,"C",4149,0
"165","No","CASH_OUT",11,362359.26,30345,0,"C",0,1643818.5
"166","No","TRANSFER",11,686307.87,787434,101126.13,"C",0,686307.87
"167","No","PAYMENT",11,1266.35,0,0,"M",0,0
"168","No","CASH_OUT",11,68174.58,10077,0,"C",0,68174.58
"169","No","PAYMENT",11,1205.19,113571.04,112365.85,"M",0,0
"170","No","PAYMENT",11,10629.13,662883.93,652254.8,"M",0,0
"171","No","CASH_IN",11,200528.77,2998912.74,3199441.51,"C",9580905.43,9380376.66
"172","No","CASH_OUT",11,60842.6,0,0,"C",2011639.73,2464932.19
"173","No","CASH_OUT",11,572598.55,10186,0,"C",22561.98,498386.69
"174","No","PAYMENT",11,36660,251679,215019,"M",0,0
"175","No","PAYMENT",11,24358.08,423274.07,398915.99,"M",0,0
"176","No","CASH_OUT",11,146698.46,0,0,"C",2324444.06,2631911.72
"177","No","CASH_OUT",11,6401.09,101234.68,94833.59,"C",161608.01,168009.1
"178","No","CASH_IN",11,461940.19,11064453.11,11526393.3,"C",608519.52,614299.46
"179","No","CASH_OUT",11,78308.87,0,0,"C",104404.66,182713.53
"180","No","CASH_OUT",11,296300.62,246714.83,0,"C",1388537.81,1684838.44
"181","No","TRANSFER",11,253799.64,0,0,"C",1095306.98,1028720.46
"182","No","PAYMENT",11,6021.67,0,0,"M",0,0
"183","No","CASH_OUT",11,68521.24,91867,23345.76,"C",0,356897.46
"184","No","TRANSFER",11,1229391.12,0,0,"C",1743917.29,2975370
"185","No","TRANSFER",11,600145.79,11503,0,"C",0,600145.79
"186","No","CASH_OUT",11,262067.37,15942,0,"C",718671.15,1525361.56
"187","No","CASH_OUT",11,538131.15,0,0,"C",0,538131.15
"188","No","PAYMENT",11,7688.99,0,0,"M",0,0
"189","No","CASH_OUT",11,279617.42,482114.23,202496.81,"C",0,462331.83
"190","No","CASH_OUT",11,236835.84,82365,0,"C",983712.97,1228845.27
"191","No","CASH_OUT",11,40216.67,0,0,"C",1523391.38,1665576.14
"192","No","CASH_OUT",11,371720.27,0,0,"C",399168.04,1000346.62
"193","No","CASH_IN",11,5736.35,12507401.25,12513137.6,"C",2288777,2283040.65
"194","No","DEBIT",11,4002.88,51218,47215.12,"C",20053,24055.88
"195","No","CASH_OUT",11,210910.11,5646,0,"C",51470,262380.11
"196","No","CASH_IN",11,248155.04,1652333.81,1900488.85,"C",604437.03,356281.98
"197","No","CASH_OUT",11,136942.04,0,0,"C",562408.19,724906.59
"198","No","TRANSFER",11,122289.88,0,0,"C",2163362.03,2285651.91
"199","No","PAYMENT",11,6337.8,30525,24187.2,"M",0,0
"200","No","PAYMENT",11,8371.74,6196,0,"M",0,0
"201","No","TRANSFER",11,722575.18,10840,0,"C",9791413.9,10513989.08
"202","No","CASH_OUT",11,561437.33,60407,0,"C",28390.36,506657
"203","No","CASH_OUT",11,12251.03,0,0,"C",3185805.73,3198056.76
"204","Si","TRANSFER",11,1933920.8,0,0,"C",1283762.85,3217683.65
"205","No","PAYMENT",12,6505.88,232203.24,225697.35,"M",0,0
"206","No","TRANSFER",12,1989965.84,358,0,"C",459006.11,2768580.78
"207","No","CASH_OUT",12,511966.11,0,0,"C",8674021.41,9185987.52
"208","No","CASH_OUT",12,139784.01,42271,0,"C",180680.49,320464.51
"209","No","TRANSFER",12,464335.22,1290379.92,826044.71,"C",9301,473636.22
"210","No","CASH_OUT",12,291033.85,125,0,"C",2278728.93,2481415.63
"211","No","PAYMENT",12,7879.4,0,0,"M",0,0
"212","No","PAYMENT",12,7375.79,24972,17596.21,"M",0,0
"213","No","PAYMENT",12,9000.49,20611,11610.51,"M",0,0
"214","No","CASH_IN",12,108613.48,17053996.52,17162610,"C",3143675.03,3766298.91
"215","No","PAYMENT",12,37415.56,0,0,"M",0,0
"216","No","PAYMENT",12,2773.69,154468.14,151694.45,"M",0,0
"217","No","PAYMENT",12,12082.82,0,0,"M",0,0
"218","No","CASH_IN",12,407812.68,904854.32,1312667,"C",11634356.25,10901252.01
"219","No","CASH_IN",12,210101.8,3038683.71,3248785.51,"C",388027.96,1753922.85
"220","No","PAYMENT",12,14753.86,1496,0,"M",0,0
"221","No","CASH_OUT",12,46042.51,0,0,"C",384603.21,430645.72
"222","No","CASH_OUT",12,9250.83,0,0,"C",50184.64,59435.47
"223","No","PAYMENT",12,4096.18,0,0,"M",0,0
"224","No","PAYMENT",12,13804.79,247215.15,233410.36,"M",0,0
"225","No","CASH_OUT",12,83006.75,30233,0,"C",73155.95,175361.43
"226","No","PAYMENT",12,17179.2,0,0,"M",0,0
"227","No","PAYMENT",12,28366.63,110,0,"M",0,0
"228","No","PAYMENT",12,32191.81,945691.01,913499.2,"M",0,0
"229","No","TRANSFER",12,224939.9,307029.46,82089.57,"C",4440687.07,4634667.46
"230","No","CASH_IN",12,353484.14,77933,431417.14,"C",11337,0
"231","No","CASH_OUT",12,142869.9,25969,0,"C",1063959.86,1206829.77
"232","No","CASH_OUT",12,388874.1,15867,0,"C",0,388874.1
"233","No","CASH_IN",12,129892.51,4702900.06,4832792.57,"C",340575.02,3737.82
"234","No","PAYMENT",12,27945.99,8054,0,"M",0,0
"235","No","PAYMENT",12,4975.48,0,0,"M",0,0
"236","No","CASH_OUT",12,208472.49,0,0,"C",1479436.43,1740447.53
"237","No","CASH_OUT",12,60901.48,0,0,"C",295690.89,356592.37
"238","No","PAYMENT",12,23522.67,186439.39,162916.72,"M",0,0
"239","No","CASH_OUT",12,190180.12,0,0,"C",606653.06,122796.88
"240","No","CASH_OUT",12,21063.02,247817,226753.98,"C",138038.84,159101.86
"241","No","PAYMENT",12,1058.77,0,0,"M",0,0
"242","No","TRANSFER",12,299668.42,0,0,"C",639463.44,4096832.41
"243","No","PAYMENT",12,1967.61,0,0,"M",0,0
"244","No","TRANSFER",12,8939.88,0,0,"C",369635.22,324385.33
"245","No","CASH_OUT",12,7078.6,0,0,"C",32779.41,39858.01
"246","No","TRANSFER",12,1761695.23,295630.81,0,"C",1869888.12,3631583.34
"247","Si","CASH_OUT",12,1041647.06,1041647.06,0,"C",52730.33,1094377.39
"248","No","CASH_OUT",13,170746.68,7296,0,"C",2130236.62,2300983.3
"249","No","PAYMENT",13,5881.01,33344.98,27463.97,"M",0,0
"250","No","PAYMENT",13,32380.25,60335,27954.75,"M",0,0
"251","No","CASH_IN",13,287669,5557883.85,5845552.85,"C",314057.28,26388.28
"252","No","PAYMENT",13,7146.05,0,0,"M",0,0
"253","No","CASH_OUT",13,290853.45,36454,0,"C",467931.6,877688.6
"254","No","CASH_OUT",13,318001.5,81366,0,"C",168413.88,486415.38
"255","No","PAYMENT",13,20805.12,0,0,"M",0,0
"256","No","PAYMENT",13,52027.21,10719,0,"M",0,0
"257","No","PAYMENT",13,12949.98,0,0,"M",0,0
"258","No","TRANSFER",13,779226.94,120420,0,"C",5001,275388.4
"259","No","CASH_IN",13,59459.28,69987.56,129446.84,"C",679723.9,461530.17
"260","No","CASH_OUT",13,115330.02,0,0,"C",190939.75,306269.77
"261","No","CASH_IN",13,2092.47,6028694.03,6030786.5,"C",3326518.82,3098566.67
"262","No","CASH_OUT",13,79489.61,0,0,"C",445939.42,525429.03
"263","No","PAYMENT",13,4064.62,52526.19,48461.57,"M",0,0
"264","No","CASH_IN",13,34850.46,646974.24,681824.7,"C",112716.83,77866.36
"265","No","CASH_OUT",13,125893.99,0,0,"C",240707.89,526428.37
"266","No","CASH_IN",13,211499.84,31115,242614.84,"C",1127175.08,795618.71
"267","No","CASH_OUT",13,484601.22,0,0,"C",1163650.9,1757120.5
"268","No","CASH_OUT",13,246429.63,0,0,"C",570916.09,817345.72
"269","No","CASH_OUT",13,7644.6,0,0,"C",953158.31,1036076.44
"270","No","CASH_OUT",13,99184.39,317593,218408.61,"C",491655.02,972123.8
"271","No","CASH_OUT",13,104841.11,9939,0,"C",303650.64,408491.75
"272","No","CASH_IN",13,197106.91,6225672.86,6422779.76,"C",6885990.77,6689443.89
"273","No","CASH_IN",13,40731.65,26308045.97,26348777.62,"C",204007.31,163275.66
"274","No","CASH_OUT",13,56209.21,50616,0,"C",0,56209.21
"275","No","PAYMENT",13,12831.78,174800.34,161968.55,"M",0,0
"276","No","CASH_OUT",13,150009.59,352890.93,202881.33,"C",4875732.45,5025742.04
"277","No","CASH_OUT",13,331698.34,196856,0,"C",1807158.03,2138856.37
"278","No","CASH_OUT",13,309809.7,0,0,"C",2452542.75,2762352.45
"279","No","CASH_OUT",13,107152.55,124596,17443.45,"C",0,107152.55
"280","No","CASH_OUT",13,394543.8,155085,0,"C",1666082.92,2060626.72
"281","No","CASH_OUT",13,158778.43,53923,0,"C",0,158778.43
"282","No","CASH_OUT",13,131720.37,5778,0,"C",0,131720.37
"283","No","TRANSFER",13,314661.81,0,0,"C",2017455.78,2655340.97
"284","No","CASH_OUT",13,257439.41,101905,0,"C",0,257439.41
"285","No","CASH_OUT",13,566862.58,4009,0,"C",2156812.01,2723674.59
"286","No","CASH_OUT",13,87447.24,0,0,"C",733136.56,820583.8
"287","No","CASH_OUT",13,47734.22,625813.58,578079.36,"C",256431.16,50438.33
"288","No","CASH_IN",13,71936.2,14436733,14508669.19,"C",662524.58,590588.39
"289","No","CASH_IN",13,3376.81,5768508.1,5771884.91,"C",647148.3,722491.23
"290","No","PAYMENT",13,8348.88,0,0,"M",0,0
"291","No","PAYMENT",13,21241.56,0,0,"M",0,0
"292","No","CASH_IN",13,179119.23,36198,215317.23,"C",51269,0
"293","No","CASH_OUT",13,425865.99,101027.37,0,"C",20751,446616.99
"294","No","PAYMENT",13,37274.43,15381,0,"M",0,0
"295","No","CASH_OUT",13,96585.13,0,0,"C",22737794.22,22834379.35
"296","No","PAYMENT",13,9116.98,0,0,"M",0,0
"297","No","PAYMENT",13,2635.49,31337,28701.51,"M",0,0
"298","No","CASH_OUT",13,710401.34,0,0,"C",734064.29,1444465.63
"299","No","PAYMENT",13,10271.3,1868173.11,1857901.81,"M",0,0
"300","Si","TRANSFER",13,2686564.04,2686564.04,0,"C",0,0
"301","Si","CASH_OUT",13,48375.02,48375.02,0,"C",374803.26,658520.33
"302","Si","TRANSFER",13,1161495.82,1161495.82,0,"C",0,0
"303","Si","CASH_OUT",13,1161495.82,1161495.82,0,"C",319036.02,1565123.81
"304","No","CASH_IN",14,126079.29,9507,135586.29,"C",256615.62,228792.18
"305","No","PAYMENT",14,5959.92,22565,16605.08,"M",0,0
"306","No","CASH_IN",14,202903.27,461,203364.27,"C",571849.96,368946.69
"307","No","PAYMENT",14,39767.93,2272,0,"M",0,0
"308","No","CASH_OUT",14,190974.35,6003,0,"C",0,464626.84
"309","No","CASH_OUT",14,50093.01,17536,0,"C",269739.82,138764.41
"310","No","TRANSFER",14,2304242.58,55373,0,"C",461385.35,2765627.93
"311","No","TRANSFER",14,534596.43,11371,0,"C",1078714.82,1890592.64
"312","No","CASH_OUT",14,125516.59,0,0,"C",274123.16,312129.51
"313","No","CASH_OUT",14,508487.26,0,0,"C",512613.85,1904528.76
"314","No","CASH_IN",14,244085.4,16117649.33,16361734.73,"C",436489.9,0
"315","No","CASH_IN",14,278139.02,6910155.28,7188294.3,"C",1852986.54,1995499.59
"316","No","CASH_OUT",14,203223.13,50887,0,"C",422372.65,1522582.19
"317","No","CASH_OUT",14,577106.61,0,0,"C",525429.03,890207.69
"318","No","CASH_IN",14,311755.25,7284227.08,7595982.33,"C",2655026.15,1997218.38
"319","No","CASH_OUT",14,213100.11,0,0,"C",4368438.51,4581538.62
"320","No","CASH_OUT",14,254489.27,0,0,"C",415762.59,940004.29
"321","No","CASH_IN",14,124455.62,2175807.51,2300263.13,"C",486628.07,1028140.43
"322","No","PAYMENT",14,3948.04,0,0,"M",0,0
"323","No","CASH_IN",14,276130.27,4858834.23,5134964.5,"C",949410.4,529806.9
"324","No","CASH_OUT",14,176174.88,0,0,"C",6491709.81,6667884.7
"325","No","PAYMENT",14,6214.56,2417,0,"M",0,0
"326","No","CASH_IN",14,18413.91,110253,128666.91,"C",40189.49,21775.58
"327","No","CASH_IN",14,84494.56,9465745.25,9550239.8,"C",731986.81,841032.16
"328","No","PAYMENT",14,20518.43,0,0,"M",0,0
"329","No","CASH_OUT",14,275422.17,11034,0,"C",726198.42,1001620.59
"330","No","CASH_OUT",14,511095.4,52754,0,"C",237009,1265413.02
"331","No","CASH_OUT",14,422759.81,0,0,"C",433054.96,968125.26
"332","No","PAYMENT",14,5201.5,81059,75857.5,"M",0,0
"333","No","CASH_IN",14,309125.38,3835880.34,4145005.72,"C",871578.03,562452.65
"334","No","CASH_OUT",14,84418.89,447383.75,362964.86,"C",20562,220916.36
"335","No","CASH_IN",14,249082.83,16131674.86,16380757.69,"C",405519.13,209114.89
"336","No","CASH_IN",14,190930.07,29776,220706.07,"C",0,0
"337","No","PAYMENT",14,14830.05,0,0,"M",0,0
"338","No","TRANSFER",14,503728.51,151188,0,"C",4316772.54,4837130.16
"339","No","TRANSFER",14,983058.14,45366.85,0,"C",2272697.51,3255755.66
"340","No","PAYMENT",14,6909.82,129185.41,122275.58,"M",0,0
"341","No","CASH_OUT",14,268143.69,118067,0,"C",198,0
"342","No","PAYMENT",14,14894.62,0,0,"M",0,0
"343","No","CASH_OUT",14,70265.89,0,0,"C",1089742.01,1516744.4
"344","No","CASH_IN",14,92132.42,34628,126760.42,"C",21491,0
"345","No","CASH_OUT",14,96267.46,0,0,"C",129752,202095.04
"346","No","PAYMENT",14,3522.99,15193.93,11670.94,"M",0,0
"347","No","CASH_OUT",14,393392.08,31372,0,"C",344386.07,737778.15
"348","No","PAYMENT",14,10391.31,4063,0,"M",0,0
"349","No","CASH_OUT",14,37357.76,0,0,"C",5147421.42,7465496.34
"350","No","CASH_OUT",14,53629.82,0,0,"C",54065.91,107695.73
"351","No","TRANSFER",14,324863.46,308,0,"C",109734.12,434597.58
"352","No","CASH_OUT",14,114997.21,0,0,"C",332349.05,447346.25
"353","No","TRANSFER",14,669362.78,32753,0,"C",36767.17,970518.1
"354","No","TRANSFER",14,912149.47,4410,0,"C",0,881758.75
"355","No","TRANSFER",14,319162.11,0,0,"C",411701.43,1750503.79
"356","No","CASH_OUT",14,46438.22,4021.37,0,"C",75051.42,257016.09
"357","No","PAYMENT",14,4006.91,0,0,"M",0,0
"358","No","CASH_OUT",14,167714.11,43604,0,"C",56526.41,247879.86
"359","No","CASH_OUT",14,259488.03,37030.59,0,"C",1673415.09,2164448.97
"360","No","CASH_IN",14,152381.77,19948,172329.77,"C",80227.61,0
"361","No","CASH_OUT",14,78811.83,31642,0,"C",1190949.47,1960888.75
"362","No","CASH_OUT",14,69396.8,361,0,"C",410581.93,670300.1
"363","No","CASH_OUT",14,349106.9,0,0,"C",619234.5,968341.39
"364","No","CASH_OUT",14,93679.28,0,0,"C",7101513.03,7083826.25
"365","No","PAYMENT",14,7653.2,11399,3745.8,"M",0,0
"366","No","CASH_IN",14,138231.07,3426732.95,3564964.02,"C",3127914.71,2989683.64
"367","No","CASH_OUT",14,360524.13,25775,0,"C",9981.68,370505.81
"368","No","CASH_OUT",14,33565.41,0,0,"C",872803.59,969423.86
"369","No","CASH_IN",14,75881.87,144160,220041.87,"C",15574.69,222869.24
"370","No","CASH_OUT",14,376252.82,158371,0,"C",294518.09,843895.18
"371","No","CASH_IN",14,412912.57,4610710.51,5023623.08,"C",2589968.01,1834810.92
"372","No","PAYMENT",14,3144.78,33965,30820.22,"M",0,0
"373","Si","TRANSFER",14,1561891.66,1561891.66,0,"C",0,0
"374","Si","CASH_OUT",14,143032,143032,0,"C",814654.61,1020323.73
"375","Si","TRANSFER",14,65488.05,65488.05,0,"C",0,0
